林道名,関係市町村,事業型,事業内容,工期,総事業費千円,ほか表記,資料ページ,行政出典,確認日
沢山線,上田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=27m） | 点検診断・保全整備（点検診断L=82m）,R9～R9 | R10～R10,1210 | 3960,あり,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
横河山線,岡谷市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=63m）,R7～R7,3292,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
小横川線,辰野町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=39m）,R7～R7,3860,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
中樽線,箕輪町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=165m）,R7～R7,7740,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
野底山線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=13m） | 点検診断・保全整備（点検診断L=557m）,R8～R9 | R7～R7,14790 | 13460,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
鳩打線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=360m）,R8～R8,3400,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
千遠線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=350m）,R9～R9,3400,なし,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
松川入線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=463m）,R10～R10,15500,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
赤石線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=570m）,R11～R11,12760,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
畑の沢線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=6m）,R10～R11,6155,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
間沢川線,松川町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=26m）,R7～R7,2808,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
松川線,松川町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=335m）,R11～R11,9100,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
弓矢沢線,高森町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=92m）,R11～R11,3600,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
忍沢線,阿智村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=76m）,R7～R7,4080,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
弓の又線,阿智村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=336m）,R10～R10,6120,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
鳥城線,阿智村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=141m）,R11～R11,4540,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
小河内川線,天龍村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=463m）,R11～R11,5220,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
万古川線,泰阜村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=262m）,R11～R11,7300,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
売木うつぼ線,阿南町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=218m）,R7～R7,9120,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
外山線,根羽村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=214m）,R11～R11,9100,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
極楽峠線,下條村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=204m）,R7～R7,6580,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大島氏乗線,喬木村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=236m）,R11～R11,7060,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
間沢川線,豊丘村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=50m） | 点検診断・保全整備（保全整備L=13m）,R10～R10 | R8～R9,2920 | 1996,なし,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大島虻川線,豊丘村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=78m） | 点検診断・保全整備（保全整備L=15m）,R10～R10 | R8～R8,3400 | 2500,なし,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
郷士沢線,豊丘村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=11m）,R10～R10,472,なし,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
鳥倉線,大鹿村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=236m）,R11～R11,7740,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大畑線,上松町,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=18m） | 点検診断・保全整備（点検診断L=226m）,R7～R7,8550 | 5900,あり,3 | 4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
川向梛野線,南木曽町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=745m） | 点検診断・保全整備（点検診断L=188m）,R7～R7 | R11～R11,6840 | 5700,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
長根線,南木曽町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=160m）,R10～R10,5700,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
洞ノ沢線,木曽町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=132m）,R7～R7,10240,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
東又線,木曽町,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=5m）,R8～R8,3860,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大沢線,木曽町,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=6m）,R9～R9,6120,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
熊澤幸沢線,木曽町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=224m）,R10～R10,11400,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
小曽部線,塩尻市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=7m）,R7～R7,6840,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
栃平線,筑北村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=86m）,R7～R7,5700,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
米子不動線,須坂市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=13m）,R7～R7,3217,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
上和桐山線,小川村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=28m）,R7～R7,1327,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
秋山線,栄村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=93m）,R7～R7,2643,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
